doc_id,topic,response_text
wrong_doc_14,Шумный документ,Здравствуйте! Благодарим за обращение. Кредитная карта активируется через банкомат после получения или в приложении. Пин-код придёт отдельным письмом.
wrong_doc_15,Шумный документ,Добрый день! Спасибо за ваш вопрос. Проценты на остаток начисляются ежемесячно 1-го числа. Минимальная сумма для начисления — 10 000 рублей.
wrong_doc_16,Шумный документ,Здравствуйте! Благодарим за обращение в поддержку фитнес-приложения. Для синхронизации данных с фитнес-браслетом перейдите в настройки → 'Устройства' → 'Подключить новое устройство'.
wrong_doc_17,Шумный документ,"Добрый день! Спасибо за вопрос. Тренировки в приложении делятся на уровни: новичок, средний, продвинутый. Рекомендуем начинать с базового уровня."
wrong_doc_18,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Для отмены премиум-подписки зайдите в настройки аккаунта → 'Подписка' → 'Отменить'. Доступ сохранится до конца оплаченного периода."
wrong_doc_19,Шумный документ,"Здравствуйте! Благодарим за обращение. Статистика по тренировкам обновляется в приложении в течение 5 минут после завершения занятия. Если данные не отображаются, попробуйте синхронизировать вручную."
wrong_doc_20,Шумный документ,Добрый день! Спасибо за ваш вопрос. План питания формируется автоматически на основе ваших целей и предпочтений. Вы можете отредактировать его в разделе 'Мой план'.
wrong_doc_21,Шумный документ,Здравствуйте! Благодарим за обращение в службу поддержки такси. Для изменения маршрута во время поездки нажмите на адрес назначения в приложении и введите новый адрес.
wrong_doc_22,Шумный документ,Добрый день! Спасибо за вопрос. Отмена заказа без комиссии возможна в течение 3 минут после подтверждения. Позднее взимается штраф в размере 50 рублей.
wrong_doc_23,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Для получения чека за поездку перейдите в историю поездок → выберите нужную → 'Получить чек'. Документ придёт на почту."
wrong_doc_24,Шумный документ,Здравствуйте! Благодарим за обращение. Оценить поездку можно в течение 24 часов после её завершения. Нажмите на звёздочки в приложении и оставьте комментарий.
wrong_doc_25,Шумный документ,Добрый день! Спасибо за ваш вопрос. Детский тариф доступен для поездок с детьми до 7 лет. Обязательно наличие детского кресла или бустера.
wrong_doc_26,Шумный документ,Здравствуйте! Благодарим за обращение. Для покраски стен водоэмульсионной краской рекомендуем предварительно загрунтовать поверхность. Это снизит расход краски до 20%.
wrong_doc_27,Шумный документ,Добрый день! Спасибо за вопрос. Укладку ламината начинают от дальнего угла комнаты по направлению к выходу. Обязательно оставляйте зазор 10 мм у стен.
wrong_doc_28,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Для устранения засора в трубах используйте трос или специальные химические средства. Не применяйте их одновременно."
wrong_doc_29,Шумный документ,Здравствуйте! Благодарим за обращение. Выравнивание потолка штукатуркой возможно при перепадах до 5 см. Для больших неровностей используйте подвесные конструкции.
wrong_doc_30,Шумный документ,Добрый день! Спасибо за ваш вопрос. Монтаж розеток должен выполняться при отключённом электричестве. Проверьте отсутствие напряжения индикаторной отвёрткой.
wrong_doc_31,Шумный документ,Здравствуйте! Благодарим за обращение в службу доставки еды. Для изменения состава заказа свяжитесь с оператором в течение 5 минут после оформления.
wrong_doc_32,Шумный документ,Добрый день! Спасибо за вопрос. Бесплатная доставка доступна при заказе от 1000 рублей. Время доставки составляет 45-90 минут.
wrong_doc_33,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Промокод на скидку вводится в корзине перед оплатой. Комбо-предложения не суммируются с другими акциями."
wrong_doc_34,Шумный документ,Здравствуйте! Благодарим за обращение. Возврат заказа возможен в течение 1 часа с момента получения при сохранении целостности упаковки и продуктов.
wrong_doc_35,Шумный документ,Добрый день! Спасибо за ваш вопрос. Время работы доставки — с 10:00 до 23:00 ежедневно. Приём заказов заканчивается за 30 минут до закрытия.
wrong_doc_36,Шумный документ,Здравствуйте! Благодарим за обращение. Для изменения дат бронирования свяжитесь с нами не позднее чем за 3 дня до заезда. Изменения возможны при наличии свободных мест.
wrong_doc_37,Шумный документ,Добрый день! Спасибо за вопрос. Отмена бронирования без штрафа возможна за 7 дней до заезда. Позднее удерживается комиссия 15% от стоимости.
wrong_doc_38,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Для получения электронного чека зайдите в личный кабинет → 'История бронирований' → 'Скачать чек'."
wrong_doc_39,Шумный документ,Здравствуйте! Благодарим за обращение. Требования к заселению: паспорт гражданина РФ и ваучер. Минимальный возраст гостя — 18 лет.
wrong_doc_40,Шумный документ,Добрый день! Спасибо за ваш вопрос. Отзывы о отеле публикуются после подтверждения бронирования. Модерация занимает до 24 часов.
wrong_doc_41,Шумный документ,"Здравствуйте! Благодарим за обращение. Замена моторного масла рекомендуется каждые 10 000 км пробега или раз в год. Используйте масло, рекомендованное производителем."
wrong_doc_42,Шумный документ,Добрый день! Спасибо за вопрос. Давление в шинах проверяйте раз в месяц на холодных колёсах. Оптимальное значение указано на стойке водительской двери.
wrong_doc_43,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Для продления срока службы аккумулятора избегайте глубоких разрядов и проверяйте уровень электролита раз в сезон."
wrong_doc_44,Шумный документ,Здравствуйте! Благодарим за обращение. Замена тормозных колодок требуется при износе более 50%. Характерный скрип при торможении указывает на необходимость замены.
wrong_doc_45,Шумный документ,Добрый день! Спасибо за ваш вопрос. Очистка кондиционера в автомобиле рекомендуется каждые 2 года. Это предотвращает появление неприятного запаха и распространение бактерий.
wrong_doc_46,Шумный документ,Здравствуйте! Благодарим за обращение на портал Госуслуг. Для подтверждения учётной записи потребуется ввести код из письма или обратиться в МФЦ с паспортом и СНИЛС.
wrong_doc_47,Шумный документ,"Добрый день! Спасибо за вопрос. Запись на приём к врачу осуществляется в разделе 'Здравоохранение'. Выберите поликлинику, специалиста и удобное время."
wrong_doc_48,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Для получения загранпаспорта нового образца потребуется загрузить фотографию и оплатить госпошлину онлайн. Срок изготовления — до 1 месяца."
wrong_doc_49,Шумный документ,Здравствуйте! Благодарим за обращение. Проверить начисленные штрафы ГИБДД можно в разделе 'Транспорт'. Оплатить их можно онлайн со скидкой 50% в течение 20 дней.
wrong_doc_50,Шумный документ,Добрый день! Спасибо за ваш вопрос. Для смены водительского удостоверения после истечения срока действия потребуется медицинская справка и оплата госпошлины. Запись на приём доступна онлайн.
wrong_doc_51,Шумный документ,"Здравствуйте! Благодарим за обращение в службу поддержки стримингового сервиса. Для изменения качества звука перейдите в настройки воспроизведения. Доступны варианты: низкое (64 кбит/с), среднее (128 кбит/с), высокое (320 кбит/с)."
wrong_doc_52,Шумный документ,Добрый день! Спасибо за вопрос. Скачивание треков для офлайн-прослушивания доступно по премиум-подписке. Максимальное количество треков для скачивания — 10 000 на одно устройство.
wrong_doc_53,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Для создания совместного плейлиста пригласите друга по ссылке. Оба участника должны иметь премиум-подписку."
wrong_doc_54,Шумный документ,"Здравствуйте! Благодарим за обращение. Ребёнок случайно удалил подписку? Не переживайте, восстановить её можно в настройках аккаунта в разделе 'Семейный доступ'."
wrong_doc_55,Шумный документ,"Добрый день! Спасибо за ваш вопрос. Рекомендации формируются на основе вашей истории прослушивания. Чтобы сбросить рекомендации, удалите историю в настройках конфиденциальности."
wrong_doc_56,Шумный документ,Здравствуйте! Благодарим за обращение на кулинарный портал. Для приготовления рассыпчатого риса промойте его несколько раз в холодной воде до прозрачности. Варите в соотношении 1:2 с водой.
wrong_doc_57,Шумный документ,"Добрый день! Спасибо за вопрос. Идеальное тесто для пельменей: мука, вода, яйцо, соль. Замешивайте до эластичности, затем дайте отдохнуть 30 минут под плёнкой."
wrong_doc_58,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Для сочного мяса на сковороде не прокалывайте его при жарке. Дайте мясу 'отдохнуть' 5-10 минут после приготовления."
wrong_doc_59,Шумный документ,Здравствуйте! Благодарим за обращение. Замена разрыхлителя: смешайте 1 чайную ложку соды и 2 чайные ложки лимонной кислоты или уксуса.
wrong_doc_60,Шумный документ,"Добрый день! Спасибо за ваш вопрос. Для насыщенного бульона закладывайте мясо в холодную воду, для прозрачного — в кипящую."
wrong_doc_61,Шумный документ,Здравствуйте! Благодарим за обращение в службу поддержки социальной сети. Для восстановления доступа к странице используйте форму 'Забыли пароль'. Код восстановления придёт на привязанный номер телефона или почту.
wrong_doc_62,Шумный документ,"Добрый день! Спасибо за вопрос. Настройки приватности позволяют скрыть список друзей, фотографии и личные данные. Изменить их можно в разделе 'Конфиденциальность'."
wrong_doc_63,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Жалоба на публикацию рассматривается в течение 24 часов. Если контент нарушает правила, он будет удалён, а автор получит предупреждение."
wrong_doc_64,Шумный документ,Здравствуйте! Благодарим за обращение. Уведомления о лайках и комментариях можно отключить в настройках. Зайдите в 'Уведомления' и выберите желаемый тип оповещений.
wrong_doc_65,Шумный документ,"Добрый день! Спасибо за ваш вопрос. Архив историй доступен в профиле. Истории хранятся 24 часа, после чего автоматически перемещаются в архив. Вы можете скачать их до истечения этого срока."
wrong_doc_66,Шумный документ,"Здравствуйте! Благодарим за обращение в службу поддержки онлайн-кинотеатра. Для смены качества видео нажмите на значок шестерёнки в плеере. Доступны варианты: 240p, 360p, 480p, 720p, 1080p."
wrong_doc_67,Шумный документ,Добрый день! Спасибо за вопрос. Скачивание фильмов для офлайн-просмотра доступно в мобильном приложении. Максимальное количество скачанных фильмов — 30.
wrong_doc_68,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Для создания списка 'Посмотреть позже' нажмите на значок закладки под описанием фильма. Список доступен в профиле."
wrong_doc_69,Шумный документ,Здравствуйте! Благодарим за обращение. Детский профиль создаётся в настройках аккаунта. В нём доступен только контент с возрастным рейтингом 0+ и 6+.
wrong_doc_70,Шумный документ,Добрый день! Спасибо за ваш вопрос. Отменить подписку можно в настройках аккаунта или в магазине приложений (App Store/Google Play). Доступ сохранится до конца оплаченного периода.
wrong_doc_71,Шумный документ,"Здравствуйте! Благодарим за обращение на фотопортал. Для съёмки пейзажей используйте диафрагму f/8-f/11 и выдержку, обратную фокусному расстоянию. Используйте штатив для стабильности."
wrong_doc_72,Шумный документ,"Добрый день! Спасибо за вопрос. Портретная съёмка: используйте светосильный объектив (f/1.4-f/2.8), фокусное расстояние 50-85 мм. Размещайте модель в мягком рассеянном свете."
wrong_doc_73,Шумный документ,"Приветствуем! Спасибо, что обратились к нам. Для обработки фото в Adobe Lightroom начните с коррекции экспозиции и баланса белого. Затем отрегулируйте контраст и насыщенность."
wrong_doc_74,Шумный документ,Здравствуйте! Благодарим за обращение. Фотосъёмка в дождь: защищайте камеру специальным чехлом. Ищите отражения в лужах и используйте выдержку 1/125 для заморозки капель.
wrong_doc_75,Шумный документ,"Добрый день! Спасибо за ваш вопрос. Для резкости фото используйте выдержку не длиннее 1/60 для ручной съёмки. При недостатке света повышайте ISO, но не выше 1600 для сохранения деталей."
