q_id,query_text,relevant_docs
q_71,Можно ли заказать бумажный сертификат с доставкой за границу?,doc_22|doc_23|doc_24
q_72,В сертификате указана старая должность. Как обновить данные?,doc_21|doc_22|doc_24
q_73,Какие форматы файлов принимаются для домашнего задания?,doc_25|doc_29|doc_30
q_74,Куратор сказал что плагиат — 50%. Как переделать проект?,doc_27|doc_28|doc_32
q_75,Можно ли загрузить домашнее задание после дедлайна?,doc_26|doc_27|doc_31
q_76,Уважаемая поддержка. Домашку проверили не засчитали почему?,doc_26|doc_30|doc_31
q_77,Сколько дней проверяется итоговый проект?,doc_26|doc_28|doc_30
q_78,невижу форму для загрузки проекта где она,doc_27|doc_28|doc_31
q_79,"Здравствуйте. Преподаватель сказал что файл не открывается, а у меня всё работает.",doc_25|doc_29|doc_30
q_80,Добрый день. Как узнать оценку за домашнее задание?,doc_26|doc_30|doc_31
q_81,"Видео грузится очень долго, даже при хорошем интернете.",doc_33|doc_34|doc_37
q_82,При попытке загрузить файл пишет 'превышен максимальный размер'. А файл всего 10 МБ.,doc_35|doc_36|doc_38
q_83,Уважаемая поддержка. Уведомления от платформы не приходят на почту. Хотя в настройках всё включено.,doc_34|doc_39|doc_40
q_84,"Мобильное приложение не открывает курс, вылетает на главном экране.",doc_35|doc_36|doc_39
q_85,приложение вылетает когда открываю тест помогите,doc_35|doc_36|doc_37
q_86,Здравствуйте. Не работает кнопка 'Сохранить' в настройках профиля.,doc_35|doc_38|doc_40
q_87,После обновления страницы пропал весь прогресс по курсу.,doc_33|doc_37|doc_38
q_88,"Добрый вечер. Чат с куратором не открывается, пишет ошибка соединения.",doc_35|doc_39|doc_40
q_89,"Не могу войти через мобильное приложение, хотя через браузер заходит.",doc_1|doc_35|doc_38
q_90,"Уважаемые. Ваш сайт очень медленно работает, невозможно учиться.",doc_33|doc_34|doc_38
q_91,Срочно! Восстановите доступ!,doc_1|doc_2|doc_4
q_92,Где сертификат?,doc_17|doc_19|doc_23
q_93,Верните деньги.,doc_12|doc_13|doc_16
q_94,Не открывается тест.,doc_35|doc_37|doc_38
q_95,Почему нет ответа от куратора?,doc_26|doc_30|doc_31
q_96,"Домашку завалил, дайте пересдать.",doc_27|doc_29|doc_32
q_97,Когда придёт письмо?,doc_2|doc_6|doc_7
q_98,Не вижу оплаченный курс.,doc_9|doc_12|doc_14
q_99,Видео не работает.,doc_33|doc_34|doc_37
q_100,Пароль не меняется.,doc_6|doc_7|doc_8
q_101,немогу вайти пароль непаходит,doc_1|doc_3|doc_5
q_102,скидка непраменилась прамакод неработает,doc_11|doc_13|doc_15
q_103,сертифкат нетащица чоделать,doc_17|doc_20|doc_24
q_104,домашку загрузил ане паказавает,doc_25|doc_29|doc_30
q_105,видео негрузицо памагите,doc_33|doc_34|doc_37
q_106,куратор малчит неделю,doc_26|doc_30|doc_31
q_107,сылка длясброса истела,doc_3|doc_4|doc_7
q_108,дважды списали деньги верните,doc_12|doc_13|doc_16
q_109,приложение вылетает памагити,doc_35|doc_36|doc_39
q_110,незаходит вкабинет ваще,doc_1|doc_4|doc_5
q_111,через сбп неплатится ошибка,doc_9|doc_10|doc_15
q_112,проект неприняли чёнить сделайте,doc_27|doc_28|doc_32
q_113,бд пдржк н адн сбщ нт,doc_26|doc_30|doc_31
q_114,почта пдтв н прхдт,doc_2|doc_6|doc_7
q_115,аплату нивижу курс закрыт,doc_9|doc_12|doc_14
q_116,скока ждать сертификат,doc_17|doc_19|doc_23
q_117,пароль несбрасывается ссылка неприходит,doc_2|doc_6|doc_7
q_118,двойку паставили можно пересдать,doc_27|doc_29|doc_32
q_119,белыйэкран после входа чёделать,doc_34|doc_38|doc_40
q_120,тест незагружается помогите,doc_35|doc_37|doc_38
q_121,ошибка404 курс пропал,doc_36|doc_37|doc_39
q_122,звуканет в лекции исправте,doc_33|doc_34|doc_40
q_123,ноутификации неприходят на почту,doc_34|doc_39|doc_40
q_124,через сколько проверят домашку устал ждать,doc_26|doc_30|doc_31
q_125,скидку студенческую немогу получить,doc_10|doc_14|doc_16
q_126,фамилию в сертификате исправьте пж,doc_21|doc_22|doc_24
q_127,файл неприкрепляется формат неподдерживает,doc_25|doc_29|doc_30
q_128,курс оплатил адоступа нет,doc_9|doc_12|doc_14
q_129,сайт виснет ваще не открывается,doc_33|doc_34|doc_38
q_130,пароль неподходит хотя я егопомню,doc_1|doc_5|doc_8
q_131,"Уважаемая поддержка. Подскажите, можно ли войти в аккаунт через Google или соцсети?",doc_2|doc_6|doc_8
q_132,Здравствуйте. Как привязать телефон для двухфакторной аутентификации?,doc_1|doc_7|doc_8
q_133,Добрый день. Сколько стоит продление доступа после окончания курса?,doc_14|doc_16|doc_9
q_134,Уважаемые. Не могу найти кнопку для отмены автопродления подписки.,doc_16|doc_14|doc_9
q_135,Здравствуйте. Можно ли получить налоговый вычет за обучение?,doc_12|doc_14|doc_16
q_136,Добрый вечер. Как связаться с методистом по поводу программы курса?,doc_26|doc_31|doc_30
q_137,Уважаемая поддержка. В личном кабинете пропал раздел с моими курсами.,doc_1|doc_17|doc_19
q_138,Здравствуйте. Сколько времени хранятся мои данные после удаления аккаунта?,doc_1|doc_8|doc_4
q_139,Добрый день. Как изменить тариф с базового на премиум?,doc_16|doc_14|doc_9
q_140,Уважаемые. Есть ли возможность обучаться офлайн с сохранением прогресса?,doc_33|doc_35|doc_38
q_141,"привет! не могу зайти вообще, пароль не подходит, помогите",doc_1|doc_2|doc_5
q_142,"добрый день! оплатил картой, деньги списали, а курс не работает, что за дела?",doc_9|doc_12|doc_14
q_143,"куда пропал сертификат, был же в кабинете, теперь нет",doc_17|doc_19|doc_23
q_144,"слушайте, домашку залил, а проверять никто не собирается?",doc_26|doc_30|doc_31
q_145,"ребята, видео виснет на середине, уже третий раз перезагружаю",doc_33|doc_34|doc_37
q_146,"подскажите, пароль сбросил, письмо пришло, а ссылка не работает",doc_3|doc_4|doc_6
q_147,"друзья, оплата не проходит, карта новая, деньги есть",doc_9|doc_13|doc_15
q_148,"народ, а сертификат с отличием автоматом дают или писать куда-то?",doc_18|doc_21|doc_22
q_149,"коллеги, подскажите, проект приняли, а балл низкий, можно апелляцию?",doc_27|doc_29|doc_32
q_150,"добрый день! кнопка сохранить не работает в настройках, что делать?",doc_35|doc_38|doc_40
